"kp_id","id","id_concatenado","region","site","addres","pais","state","city","horario","prioritario","criticidad","inmueble","hrequerimientos","horasxdias","mes"
"297","9999","9999-ENTIDAD FEDERATIVA-EDO MEX","CENTRO","USUARIO EXTERNO","PASEO TOLLOCAN ESQUINA URAWA,  CENTRO DE SERVICIOS ADMINISTRATIVOS PUERTA ""H"" COL. PROGRES","MEXICO","ESTADO DE MEXICO","TOLUCA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"298","9999","9999-ENTIDAD FEDERATIVA-EDO. DE MEXICO","CENTRO","USUARIO EXTERNO","AV.MEXICAS NO. 63 1ER. PISO LETRA G COL. SANTA CRUZ ACATLAN, NAUCALPAN ESTADO DE MEXICO","MEXICO","ESTADO DE MEXICO","EDO. DE MEXICO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"299","9999","9999-ENTIDAD FEDERATIVA-GUADALAJARA","CENTRO","USUARIO EXTERNO","MAGISTERIO Y TAMAULIPAS S/N COL. MIRAFLORES","MEXICO","JALISCO","GUADALAJARA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"300","9999","9999-ENTIDAD FEDERATIVA-GUADALAJARA-JAL","CENTRO","USUARIO EXTERNO","PEDRO MORENO #281, PISO 4","MEXICO","JALISCO","JALISCO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"301","9999","9999-ENTIDAD FEDERATIVA-GUADALUPE-ZAC","CENTRO","USUARIO EXTERNO","LATERAL SOLIDARIDAD #230, FRACC. GERANIOS","MEXICO","ZACATECAS","GUADALUPE","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"302","9999","9999-ENTIDAD FEDERATIVA-GUANAJUATO-GTO","CENTRO","USUARIO EXTERNO","PASEO DE LA PRESA 173","MEXICO","GUANAJUATO","GUANAJUATO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"303","9999","9999-ENTIDAD FEDERATIVA-HUEJUTLA DE REYES - HGO","CENTRO","USUARIO EXTERNO","GENERALES AZUARA NO.4","MEXICO","HIDALGO","HUEJUTLA DE REYES","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"304","9999","9999-ENTIDAD FEDERATIVA-HUICHAPAN - HGO","CENTRO","USUARIO EXTERNO","CALLE INSURGENTES ESQ. CALLE 16 DE ENERO MERCADO NUEVO PLANTA ALTA","MEXICO","HIDALGO","HUICHAPAN","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"305","9999","9999-ENTIDAD FEDERATIVA-IXMIQUILPAN - HGO","CENTRO","USUARIO EXTERNO","AVE.FELIPE ANGELES S/N,(INT.EX PATRIMONIO INDIGENA DEL VALLE DEL MEZQUITAL),CO.CENTRO","MEXICO","HIDALGO","IXMIQUILPAN","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"306","9999","9999-ENTIDAD FEDERATIVA-JALISCO1","CENTRO","USUARIO EXTERNO","MORELOS NO.310A","MEXICO","JALISCO","TONAYA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"307","9999","9999-ENTIDAD FEDERATIVA-JALISCO10","CENTRO","USUARIO EXTERNO","CARRANZA SILVA NO.1","MEXICO","JALISCO","CASIMIRO CASTILLO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"308","9999","9999-ENTIDAD FEDERATIVA-JALISCO100","CENTRO","USUARIO EXTERNO","5 DE FEBRERO NO.10","MEXICO","JALISCO","VALLE DE JUAREZ","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"309","9999","9999-ENTIDAD FEDERATIVA-JALISCO101","CENTRO","USUARIO EXTERNO","RAMON CORONA NO.1","MEXICO","JALISCO","AYUTLA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"310","9999","9999-ENTIDAD FEDERATIVA-JALISCO102","CENTRO","USUARIO EXTERNO","FRANCISCO I MADERO NO.21","MEXICO","JALISCO","LA HUERTA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"311","9999","9999-ENTIDAD FEDERATIVA-JALISCO103","CENTRO","USUARIO EXTERNO","VICTORIA NO.54","MEXICO","JALISCO","HUEJUQUILLA EL ALTO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"312","9999","9999-ENTIDAD FEDERATIVA-JALISCO104","CENTRO","USUARIO EXTERNO","HIDALGO NO.26","MEXICO","JALISCO","HOSTOTIPAQUILLO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"313","9999","9999-ENTIDAD FEDERATIVA-JALISCO105","CENTRO","USUARIO EXTERNO","INDEPENDENCIA NO.3","MEXICO","JALISCO","IXTLAHUACAN DEL R?O","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"314","9999","9999-ENTIDAD FEDERATIVA-JALISCO106","CENTRO","USUARIO EXTERNO","AV CIRCUNVALACION ESQUINA FELIX PALAVICINI","MEXICO","JALISCO","GUADALAJARA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"315","9999","9999-ENTIDAD FEDERATIVA-JALISCO107","CENTRO","USUARIO EXTERNO","ZARAGOZA NO.8","MEXICO","JALISCO","ATENGUILLO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"316","9999","9999-ENTIDAD FEDERATIVA-JALISCO108","CENTRO","USUARIO EXTERNO","MERCADO MPAL LOCAL 11 Y 12","MEXICO","JALISCO","ETZATLAN","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"317","9999","9999-ENTIDAD FEDERATIVA-JALISCO109","CENTRO","USUARIO EXTERNO","DONATO GUERRA NO. 30","MEXICO","JALISCO","TALA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"318","9999","9999-ENTIDAD FEDERATIVA-JALISCO11","CENTRO","USUARIO EXTERNO","INDEPENDENCIA NO.32","MEXICO","JALISCO","MAGDALENA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"319","9999","9999-ENTIDAD FEDERATIVA-JALISCO110","CENTRO","USUARIO EXTERNO","16 DE SEPTIEMBRE NO.155","MEXICO","JALISCO","COCULA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"320","9999","9999-ENTIDAD FEDERATIVA-JALISCO111","CENTRO","USUARIO EXTERNO","JUAREZ NO.28","MEXICO","JALISCO","DEGOLLADO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"321","9999","9999-ENTIDAD FEDERATIVA-JALISCO112","CENTRO","USUARIO EXTERNO","HIDALGO NO.14","MEXICO","JALISCO","VILLA GUERRERO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"322","9999","9999-ENTIDAD FEDERATIVA-JALISCO113","CENTRO","USUARIO EXTERNO","FCO.M CABRAL NO.60-B","MEXICO","JALISCO","UNION DE SAN ANTONIO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"323","9999","9999-ENTIDAD FEDERATIVA-JALISCO114","CENTRO","USUARIO EXTERNO","ANDRES FIGUEROA NO.39","MEXICO","JALISCO","AVATIC","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"324","9999","9999-ENTIDAD FEDERATIVA-JALISCO115","CENTRO","USUARIO EXTERNO","AV LOPEZ MATEOS SUR N. 5150, UNID ADMVA LAS AGUILAS","MEXICO","JALISCO","GUADALAJARA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"325","9999","9999-ENTIDAD FEDERATIVA-JALISCO116","CENTRO","USUARIO EXTERNO","INDEPENDENCIA NO.28","MEXICO","JALISCO","EL SALTO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"326","9999","9999-ENTIDAD FEDERATIVA-JALISCO117","CENTRO","USUARIO EXTERNO","UNIDAD ADMINISTRATIVA  CARRT. 23 COLOTLAN GDL KM.1","MEXICO","JALISCO","COLOTL?N","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"327","9999","9999-ENTIDAD FEDERATIVA-JALISCO118","CENTRO","USUARIO EXTERNO","AQUILES SERDAN NO.451A","MEXICO","JALISCO","SANTA ANITA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"328","9999","9999-ENTIDAD FEDERATIVA-JALISCO119","CENTRO","USUARIO EXTERNO","FEDERICO DELL TORO NO.246","MEXICO","JALISCO","CD. GUZMAN","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"329","9999","9999-ENTIDAD FEDERATIVA-JALISCO12","CENTRO","USUARIO EXTERNO","DEGOLLADO NO.78","MEXICO","JALISCO","JUCHITL?N","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"330","9999","9999-ENTIDAD FEDERATIVA-JALISCO120","CENTRO","USUARIO EXTERNO","UNID ADMVA PRISILIANO SANCHEZ, AV. CIRCUNVALACION Y ARTESANOS","MEXICO","JALISCO","GUADALAJARA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"331","9999","9999-ENTIDAD FEDERATIVA-JALISCO121","CENTRO","USUARIO EXTERNO","SAN MODESTO NO.50 FRACC LA PALMA","MEXICO","JALISCO","LAGOS DE MORENO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"332","9999","9999-ENTIDAD FEDERATIVA-JALISCO122","CENTRO","USUARIO EXTERNO","PEDRO MORENO 281","MEXICO","JALISCO","GUADALAJARA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"333","9999","9999-ENTIDAD FEDERATIVA-JALISCO13","CENTRO","USUARIO EXTERNO","AV. ALCALDE Y CHIHUAHUA, ARCHIVO HISTORICO","MEXICO","JALISCO","GUADALAJARA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"334","9999","9999-ENTIDAD FEDERATIVA-JALISCO14","CENTRO","USUARIO EXTERNO","FRANCISCO ROJAS NO.15","MEXICO","JALISCO","JUANACATL?N","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"335","9999","9999-ENTIDAD FEDERATIVA-JALISCO15","CENTRO","USUARIO EXTERNO","UNIDAD ADMVA BENITO JU?REZ LOCAL D","MEXICO","JALISCO","ATOTONILCO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"336","9999","9999-ENTIDAD FEDERATIVA-JALISCO16","CENTRO","USUARIO EXTERNO","GUERRERO NO.3-A","MEXICO","JALISCO","GUACHINANGO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"337","9999","9999-ENTIDAD FEDERATIVA-JALISCO17","CENTRO","USUARIO EXTERNO","HIDALGO NO.85 INT 11","MEXICO","JALISCO","AUTL?N DE NAVARRO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"338","9999","9999-ENTIDAD FEDERATIVA-JALISCO18","CENTRO","USUARIO EXTERNO","ABASOLO NO.120","MEXICO","JALISCO","GUADALAJARA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"339","9999","9999-ENTIDAD FEDERATIVA-JALISCO19","CENTRO","USUARIO EXTERNO","AV DE LOS GRANDES LAGOS 236-1 ER PISO, FLUVIAL VALLARTA","MEXICO","JALISCO","PUERTO VALLARTA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"340","9999","9999-ENTIDAD FEDERATIVA-JALISCO2","CENTRO","USUARIO EXTERNO","INDEPENDENCIA NO.66","MEXICO","JALISCO","TEUCHITLAN","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"341","9999","9999-ENTIDAD FEDERATIVA-JALISCO20","CENTRO","USUARIO EXTERNO","MORELOS NO.42","MEXICO","JALISCO","SAN IGNACIO CERRO GORDO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"342","9999","9999-ENTIDAD FEDERATIVA-JALISCO21","CENTRO","USUARIO EXTERNO","MORELOS NO.6","MEXICO","JALISCO","TENAMAXTLAN","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"343","9999","9999-ENTIDAD FEDERATIVA-JALISCO22","CENTRO","USUARIO EXTERNO","NARCISO ELIZONDO NO.14 NORTE","MEXICO","JALISCO","SAN JULIAN","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"344","9999","9999-ENTIDAD FEDERATIVA-JALISCO23","CENTRO","USUARIO EXTERNO","PEDRO MORENO Y CORONA N. 299","MEXICO","JALISCO","GUADALAJARA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"345","9999","9999-ENTIDAD FEDERATIVA-JALISCO24","CENTRO","USUARIO EXTERNO","COLON NO.12","MEXICO","JALISCO","SAN MARCOS","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"346","9999","9999-ENTIDAD FEDERATIVA-JALISCO25","CENTRO","USUARIO EXTERNO","RICARDO CORTES BNO.40","MEXICO","JALISCO","ZAPOTILTIC","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"347","9999","9999-ENTIDAD FEDERATIVA-JALISCO26","CENTRO","USUARIO EXTERNO","AV CIRCUNVALACION ESQUINA FELIX PALAVICINI","MEXICO","JALISCO","GUADALAJARA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"348","9999","9999-ENTIDAD FEDERATIVA-JALISCO27","CENTRO","USUARIO EXTERNO","CUAHUTEMOC NO.7","MEXICO","JALISCO","SAN JUANITO ESCOBEDO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"349","9999","9999-ENTIDAD FEDERATIVA-JALISCO28","CENTRO","USUARIO EXTERNO","JUAN JOS? ZEA NO.5","MEXICO","JALISCO","AHUALULCO DEL MERCADO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"350","9999","9999-ENTIDAD FEDERATIVA-JALISCO29","CENTRO","USUARIO EXTERNO","VALLARTA NO.20A","MEXICO","JALISCO","TEOCALTICHE","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"351","9999","9999-ENTIDAD FEDERATIVA-JALISCO3","CENTRO","USUARIO EXTERNO","MORELOS NO.39","MEXICO","JALISCO","LA BARCA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"352","9999","9999-ENTIDAD FEDERATIVA-JALISCO30","CENTRO","USUARIO EXTERNO","INDEPENDENCIA NO.191","MEXICO","JALISCO","TIZAPAN EL ALTO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"353","9999","9999-ENTIDAD FEDERATIVA-JALISCO31","CENTRO","USUARIO EXTERNO","JUAN GIL PRECIADO N. 6735, ANTIGUA CARRETERA A TESISTAN","MEXICO","JALISCO","GUADALAJARA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"354","9999","9999-ENTIDAD FEDERATIVA-JALISCO32","CENTRO","USUARIO EXTERNO","LAZARO CARDENAS NO.13","MEXICO","JALISCO","AMATIT?N","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"355","9999","9999-ENTIDAD FEDERATIVA-JALISCO33","CENTRO","USUARIO EXTERNO","GONZ?LEZ ORTEGA NO.55","MEXICO","JALISCO","YAHUALICA DE GONZALEZ GALLO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"356","9999","9999-ENTIDAD FEDERATIVA-JALISCO34","CENTRO","USUARIO EXTERNO","HIDALGO NO.11","MEXICO","JALISCO","SAN MARTIN DE BOLA?OS","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"357","9999","9999-ENTIDAD FEDERATIVA-JALISCO35","CENTRO","USUARIO EXTERNO","ZARAGOZA NO.30","MEXICO","JALISCO","MEZQUITIC","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"358","9999","9999-ENTIDAD FEDERATIVA-JALISCO36","CENTRO","USUARIO EXTERNO","RAMON CORONA NOO.8","MEXICO","JALISCO","CUATLA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"359","9999","9999-ENTIDAD FEDERATIVA-JALISCO37","CENTRO","USUARIO EXTERNO","AV. VALLARTA N.3322 LOCAL G8 Y G9, PLAZA EXIMODA","MEXICO","JALISCO","GUADALAJARA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"360","9999","9999-ENTIDAD FEDERATIVA-JALISCO38","CENTRO","USUARIO EXTERNO","JU?REZ NO.13 A","MEXICO","JALISCO","SAN CRISTOBVAL DE LA BARRANCA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"361","9999","9999-ENTIDAD FEDERATIVA-JALISCO39","CENTRO","USUARIO EXTERNO","COLON NO.19 PB","MEXICO","JALISCO","TECALITLAN","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"362","9999","9999-ENTIDAD FEDERATIVA-JALISCO4","CENTRO","USUARIO EXTERNO","JU?REZ ESQ. ZAPATA","MEXICO","JALISCO","JILOTL?N DE LOS DOLORES","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"363","9999","9999-ENTIDAD FEDERATIVA-JALISCO40","CENTRO","USUARIO EXTERNO","PABLO CEDILLO NO187B","MEXICO","JALISCO","GUADALAJARA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"364","9999","9999-ENTIDAD FEDERATIVA-JALISCO41","CENTRO","USUARIO EXTERNO","5 DE MAYO NO.11-A","MEXICO","JALISCO","BOLA?OS","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"365","9999","9999-ENTIDAD FEDERATIVA-JALISCO42","CENTRO","USUARIO EXTERNO","INDEPENDENCIA NO.49","MEXICO","JALISCO","VILLA HIDALGO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"366","9999","9999-ENTIDAD FEDERATIVA-JALISCO43","CENTRO","USUARIO EXTERNO","ALLENDE NO.190","MEXICO","JALISCO","JAMAY","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"367","9999","9999-ENTIDAD FEDERATIVA-JALISCO44","CENTRO","USUARIO EXTERNO","PORTAL JUAREZ NO.12 ","MEXICO","JALISCO","EL TUITO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"368","9999","9999-ENTIDAD FEDERATIVA-JALISCO45","CENTRO","USUARIO EXTERNO","ZARAGOZA NO.101","MEXICO","JALISCO","ACATL?N DE Ju?rez","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"369","9999","9999-ENTIDAD FEDERATIVA-JALISCO46","CENTRO","USUARIO EXTERNO","ALFREDO R. PLASCENCIA NO.57 A","MEXICO","JALISCO","JALOSTOTITL?N","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"370","9999","9999-ENTIDAD FEDERATIVA-JALISCO47","CENTRO","USUARIO EXTERNO","SABAS CARRILLO MOD C INT.8","MEXICO","JALISCO","ZAPOTLANEJO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"371","9999","9999-ENTIDAD FEDERATIVA-JALISCO48","CENTRO","USUARIO EXTERNO","GALEANA NO.34","MEXICO","JALISCO","MAZAMITLA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"372","9999","9999-ENTIDAD FEDERATIVA-JALISCO49","CENTRO","USUARIO EXTERNO","MORELOS NO.23","MEXICO","JALISCO","TOTOTLAN","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"373","9999","9999-ENTIDAD FEDERATIVA-JALISCO5","CENTRO","USUARIO EXTERNO","ALDAMA NO.25","MEXICO","JALISCO","CUQUIO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"374","9999","9999-ENTIDAD FEDERATIVA-JALISCO50","CENTRO","USUARIO EXTERNO","VICENTE GUERRERO S/N","MEXICO","JALISCO","CHIMALTITAN","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"375","9999","9999-ENTIDAD FEDERATIVA-JALISCO51","CENTRO","USUARIO EXTERNO","ANGEL ANGUIANO 159","MEXICO","JALISCO","TIZAPAN EL ALTO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"376","9999","9999-ENTIDAD FEDERATIVA-JALISCO52","CENTRO","USUARIO EXTERNO","AV. ALCALDE Y CHIHUAHUA, ARCHIVO HISTORICO","MEXICO","JALISCO","GUADALAJARA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"377","9999","9999-ENTIDAD FEDERATIVA-JALISCO53","CENTRO","USUARIO EXTERNO","AV. PROLONGACION ALCALDE NO.. 1351","MEXICO","JALISCO","GUADALAJARA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"378","9999","9999-ENTIDAD FEDERATIVA-JALISCO54","CENTRO","USUARIO EXTERNO","OBREGON 32-B","MEXICO","JALISCO","SAN MARTIN HIDALGO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"379","9999","9999-ENTIDAD FEDERATIVA-JALISCO55","CENTRO","USUARIO EXTERNO","AV. M?XICO N-3","MEXICO","JALISCO","TUXCACUESCO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"380","9999","9999-ENTIDAD FEDERATIVA-JALISCO56","CENTRO","USUARIO EXTERNO","5 DE MAYO 7","MEXICO","JALISCO","TALPA DE ALLENDE","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"381","9999","9999-ENTIDAD FEDERATIVA-JALISCO57","CENTRO","USUARIO EXTERNO","VICTORIA NO.17","MEXICO","JALISCO","SAN MIGUEL EL ALTO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"382","9999","9999-ENTIDAD FEDERATIVA-JALISCO58","CENTRO","USUARIO EXTERNO","GENERAL ANAYA NO.30","MEXICO","JALISCO","EL GRULLO","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"383","9999","9999-ENTIDAD FEDERATIVA-JALISCO59","CENTRO","USUARIO EXTERNO","AYUNTAMIENTO NO.4, PRESIDENCIA MUNICIPAL","MEXICO","JALISCO","AMACUECA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"384","9999","9999-ENTIDAD FEDERATIVA-JALISCO6","CENTRO","USUARIO EXTERNO","ENRIQUE ROSALES NO.83","MEXICO","JALISCO","ARENAL","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"385","9999","9999-ENTIDAD FEDERATIVA-JALISCO60","CENTRO","USUARIO EXTERNO","CALLEJ?N DEL RECUERDO NO.2","MEXICO","JALISCO","SAN JUAN DE LOS LAGOS","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"386","9999","9999-ENTIDAD FEDERATIVA-JALISCO61","CENTRO","USUARIO EXTERNO","AV DE LOS GRANDES LAGOS 236-1 ER PISO, FLUVIAL VALLARTA","MEXICO","JALISCO","PUERTO VALLARTA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"387","9999","9999-ENTIDAD FEDERATIVA-JALISCO62","CENTRO","USUARIO EXTERNO","CONSTITUCI?N 271","MEXICO","JALISCO","TAPALPA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"388","9999","9999-ENTIDAD FEDERATIVA-JALISCO63","CENTRO","USUARIO EXTERNO","MORELOS NO.12","MEXICO","JALISCO","CHIQUILISTLAN","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"389","9999","9999-ENTIDAD FEDERATIVA-JALISCO64","CENTRO","USUARIO EXTERNO","FLAVIANO RAMOS NO.95 NORTE","MEXICO","JALISCO","TLAJOMULCO DE Z??iga ","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"390","9999","9999-ENTIDAD FEDERATIVA-JALISCO65","CENTRO","USUARIO EXTERNO","MANUEL VILLAGRANA NO.1A","MEXICO","JALISCO","CAJITITL?N","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"391","9999","9999-ENTIDAD FEDERATIVA-JALISCO66","CENTRO","USUARIO EXTERNO","LERDO DE TEJADA NO.20","MEXICO","JALISCO","SAN LUIS SOYATLAN","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"392","9999","9999-ENTIDAD FEDERATIVA-JALISCO67","CENTRO","USUARIO EXTERNO","CONSTITUCION ORIENTE NO.7","MEXICO","JALISCO","CONCEPCI?N DE BUENOS AIRES","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"393","9999","9999-ENTIDAD FEDERATIVA-JALISCO68","CENTRO","USUARIO EXTERNO","AV. PROLONGACION ALCALDE N. 1351 EDIF-A","MEXICO","JALISCO","GUADALAJARA","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
"394","9999","9999-ENTIDAD FEDERATIVA-JALISCO69","CENTRO","USUARIO EXTERNO","ANACLETO ALVAREZ NO.32A","MEXICO","JALISCO","ZAPOTITLAN","LV0900-1900","USUAR","USUARIO EXTERNO","0","USUARIO EXTERNO","#N/","Julio"
