"clave_unica","zona","estado","domicilio","id_loc","ps1","ps2","ps3","ps4","ps5","ps6","ps7","vol","facturacion","mes"
"227","SUR","CHIAPAS","BOULEVARD FRAY MATIAS DE CORDOBA S/N, COL. CENTRO C.P. 30840, PLANTA BAJA, CD. HIDALGO, CHIAPAS, REFERENCIA: PUENTE INTERNACIONAL DR RODOLFO ROBLES",,"0.7419","3","0","0","0","0","0","3.7419","1830.662121","Julio"
"228","SUR","CHIAPAS","CARRETERA FEDERAL 200 TEPIC-PUENTE TALISMAN KM 311 + 300 S/N, COL. POBLADO FRONTERA TALISMAN C.P. 30870, PLANTA BAJA, TUXTLA CHICO, CHIAPAS, REFERENCIA: FRONTERA TALISMAN",,"1","4","0","0","0","0","0","5","2447.11","Julio"
"229","SUR","CHIAPAS","CARRETERA 225 EL JOCOTE -PUERTO MADERO KM 018+500 EJIDO MORELOS MPIO. DE TAPACHULA, CHIAPAS. C.P. 30798 S/N, COL. N/A C.P. 30798, BAJA, TAPACHULA, CHIAPAS, REFERENCIA: AEROPUERTO INTERNACIONAL DE TAPACHULA",,"2","1","0","1","1","0","0","5","2773.99","Julio"
"230","SUR","CHIAPAS","CARRETERA 190 M?XICO-CD. CUAUHTEMOC TRAMO CHAMIC-L?NEA INTERNACIONAL M?XICO-GUATEMALA KM. 253.5, CD. CUAUHT?MOC,  MPIO. DE FRONTERA COMALAPA, CHIAPAS. C.P.30150",,"0","3","0","0","0","0","0","3","1402.89","Julio"
"231","SUR","YUCATAN","CARRETERA MERIDA-UMAN KM. 14.5  S/N, COL. NUEVA SAMBULA C.P. 97250, UN SOLO PISO, MERIDA, YUCATAN, REFERENCIA: CENTRAL DE CARGA AEREA",,"6","7.4839","0","0","2","0","0","15.4839","8112.416157","Julio"
"232","SUR","OAXACA","CARRETERA OAXACA-PUERTO ANGEL KM 7.5 S/N, COL. MUNICIPIO DE SANTA CRUZ XOXOCOTL?N C.P. 71230, UNICO, MUNICIPIO DE SANTA CRUZ XOXOCOTLAN, OAXACA, REFERENCIA: INTERIOR DEL AEROPUERTO INTERNACIONAL DE OAXACA.",,"2","2","0","0","0","0","0","4","2088.44","Julio"
"233","SUR","VERACRUZ","INTERIOR DEL RECINTO FISCAL S/N, ZONA FRANCA S/N, COL. CENTRO C.P. 96400, 1, COATZACOALCOS, VERACRUZ, REFERENCIA: OFICINAS ADUANA, A UN COSTADO DE API",,"16.5161","24.8065","0","0","2","0","0","43.3226","22276.461694","Julio"
"234","SUR","PUEBLA","CALLE I.  LIB. PUEBLA - TEHUAC?N 1046, COL. PARQUE INDUSTRIAL PUEBLA 2000 C.P. 72225, PB, PUEBLA, PUEBLA, REFERENCIA: JUNTO A PEMEX",,"29","14.0645","1","2","1","0","0","47.0645","25601.862135","Julio"
"235","SUR","GUERRERO","AVENIDA COSTERA MIGUEL ALEMAN S/N, MUELLE FISCAL S/N, COL. CENTRO C.P. 39300, PLANTA BAJA, ACAPULCO, GUERRERO, REFERENCIA: ENFRENTE DE PALACIO FEDERAL",,"12.2903","14","0","1","3","0","0","30.2903","15939.644077","Julio"
"236","SUR","VERACRUZ","CARRETERA A SAN JUAN DE UL?A KM. 3.5 INT. DEL RECINTO FISCAL S/N, COL. CENTRO C.P. 91700, AMBAS PLANTAS, VERACRUZ, VERACRUZ, REFERENCIA: M?DULOS BANCARIOS EN ESTACIONAMIENTO.",,"83.0645","95.0645","1","9","9","0","1","198.129","103967.04219","Julio"
"237","SUR","PUEBLA","LATERAL RECTA A CHOLULA 103, COL. EX-HACIENDA ZAVALETA C.P. 72150, PB Y 1 PISO, PUEBLA, PUEBLA, REFERENCIA: JUNTO A PGR",,"296.7418","195.6451","4","49.258","57.2257","0","3","605.8706","328277.059158","Julio"
"238","CENTRO","MORELOS","PASEO DEL CONQUISTADOR #224-226 COL. MARAVILLAS CUERNAVACA MORELOS CP 62230",,"204.4515","101.5807","3","36","33.9032","0","0","378.9354","207414.359214","Julio"
"239","SUR","GUERRERO","ANTON DE ALAMINOS  6, COL. FRACCIONAMIENTO MAGALLANES C.P. 39670, PRIMERO PISO, ACAPULCO, GUERRERO, REFERENCIA: ATRAS DEL RESTAURANTE EL ZORRITO",,"160.4839","94.4516","2","32","34.6452","0","1","324.5807","176942.019477","Julio"
"240","SUR","VERACRUZ","PASEO DE LA NI?A #150, FRACC. LAS AMERICAS, C.P. 94298",,"213.9677","103","3","67.1291","54.3871","0","2.5161","444","244998.387426","Julio"
"241","SUR","VERACRUZ","AVENIDA CRIST?BAL COL?N 212, COL. CENTRO C.P. 96400, PLANTA BAJA, COATZACOALCOS, VERACRUZ, REFERENCIA: ENTRE H?ROES DE NACOZARI Y FRANCISCO VILLA",,"138.5161","77.3548","3","39.2903","27.613","0","0","285.7742","156338.19697","Julio"
"242","SUR","VERACRUZ","AVENIDA MANLIO FABIO ALTAMIRANO 1, COL. CENTRO C.P. 91000, PLANTA BAJA, JALAPA, VERACRUZ, REFERENCIA: ENTRE LAS CALLES DE DOCTOR LUCIO Y REVOLUCI?N",,"134.3226","68.8065","2","36","30.4839","0","1","272.613","149772.25343","Julio"
"243","SUR","VERACRUZ","CALLE 11 ESQUINA AVENIDA 3 119, COL. CENTRO C.P. 94500, EDIFICIO, CORDOBA, VERACRUZ, REFERENCIA: A ESPALDAS DEL SUPER AHORROS DEL CENTRO",,"66","50.0323","2","5","8","0","0.2258","131.2581","70245.427899","Julio"
"244","SUR","VERACRUZ","AVE. 11 ENTRE CALLES 12 Y 14 1206, COL. SAN JOS? C.P. 94560, EDIFICIO, CORDOBA, VERACRUZ, REFERENCIA: ENTRADA AUTOPISTA",,"30.0645","3.6129","0","36","22","0","0","91.6774","52466.610482","Julio"
"245","SUR","TLAXCALA","PLAZA DE LA CONSTITUCION #22, COL. CENTRO",,"51","61.2904","2","3","1","0","3","121.2904","63517.429752","Julio"
"246","SUR","TLAXCALA","DIEGO MU?OZ CAMARGO 28, COL. CENTRO C.P. 90000, PLANTA BAJA, PRIMER Y SEGUNDO PISO, TLAXCALA, TLAXCALA, REFERENCIA: ENTRE ALLENDE Y MARIANO SANCHEZ",,"27","3","0","2","2","0","1","35","19942.43","Julio"
"247","SUR","TLAXCALA","CALLE HIDALGO 5, COL. CENTRO C.P. 90000, PLANTA BAJA, PRIMER Y SEGUNDO PISO, TLAXCALA, TLAXCALA, REFERENCIA: CALLE HIDALGO ESQUINA 20 DE NOVIEMBRE",,"28","1.3226","0","21","13","0","0","63.3226","36367.067438","Julio"
"248","SUR","GUERRERO","PLAZA INDEPENDENCIA, CARRETERA IGUALA-TAXCO LOTE 28 MANZANA 3, COL. CD. INDUSTRIAL, IGUALA, GRO., C.P. 40025",,"84","48.6451","2","13","20","0","0","167.6451","91356.938113","Julio"
"249","SUR","PUEBLA","BOULEVARD HEROES DEL 5 DE MAYO 3704, COL. ANZURES ZONA DORADA C.P. 72530, SEGUNDO PISO, PUEBLA, PUEBLA, REFERENCIA: A LADO DE PLAZA DORADA",,"234.1936","129.1289","2","42.4194","37.9677","1","4","450.7096","246242.88332","Julio"
"250","SUR","PUEBLA","AV. HIDALGO NO. 1210 INT. 12, 13 Y 14 EDIF. LATINO, COL. CENTRO C.P. 23800",,"5","3","0","1.5484","6","0","0","15.5484","8638.171956","Julio"
"251","SUR","PUEBLA","AV. 5 ORIENTE #1 ALTOS , PALACIO FEDERAL, COL. CENTRO, C.P. 72000",,"0","1","0","0","1","0","0","2","1044.22","Julio"
"252","SUR","PUEBLA","PRIMERA DE ORIENTE Y PRIMERA DE MORELOS, PALACIO FEDERAL S/N, COL. ZONA CENTRO C.P. 75700, PLANTA BAJA, TEHUACAN, PUEBLA, REFERENCIA: FRENTE A LA PLAZA PRINCIPAL",,"16","18","0","4","7.8387","0","0","45.8387","24468.856033","Julio"
"253","SUR","GUERRERO","EMILIANO ZAPATA 28, COL. CENTRO C.P. 39000, PISO 4, CHILPANCINGO DE LOS BRAVO, GUERRERO, REFERENCIA: ESQUINA CALLE GALEANA",,"15","22","0","5","2","0","0","44","22972.84","Julio"
"254","SUR","GUERRERO","BOULEVAR DE LAS NACIONES, AREOPUERTO INTERNACIONAL JUAN N. ALVAREZ S/N S/N, COL. PLAN DE LOS AMATES C.P. 39931, PLANTA BAJA, ACAPULCO, GUERRERO, REFERENCIA: SALA INTERNACIONAL DEL AEROPUERTO INTERNACIONAL",,"8.9032","3","0","0","0","0","0","11.9032","6536.386088","Julio"
"255","SUR","TABASCO","CARR. VILAHERMOSA - ESCARCEGA KM 2.5 INTERIOR DEL AEPTO. INT. ""C.P.A. CARLOS ROVIROSA P?REZ"",  S/N, COL. POBLADO DOS MONTES C.P. 86275, PLANTA BAJA, VILLAHERMOSA, TABASCO, REFERENCIA: INTERIOR DEL AEPTO. INT. ""C.P.A. CARLOS ROVIROSA P?REZ"", POBLADO DOS MO",,"3","3.7097","0","1","1","0","0","8.7097","4617.717011","Julio"
"256","SUR","VERACRUZ","CARRETERA VERACRUZ-XALAPA, INT. DEL AEROPUERTO DE VERACRUZ ""HERIBERTO JARA CORONA"" S/N, COL. LAS BAJADAS C.P. 91698, PB, VERACRUZ, VERACRUZ, REFERENCIA: A LA ENTRADA DEL AEROPUERTO INTERNACIONAL ""HERIBERTO JARA CORONA""",,"3","1.9677","0","0","0","0","0","4.9677","2649.925551","Julio"
"257","SUR","PUEBLA","CARR. FED. M?XICO ? PUEBLA, KM. 91.5   S/N C.P. 74160, PB,  DEL.  HUEJOTZINGO, PUEBLA, PUEBLA, REFERENCIA: AEROPUERTO INTERNACIONAL DE PUEBLA",,"1","4","0","0","1","0","0","6","3023.7","Julio"
"258","SUR","MORELOS","CALZADA DE LOS GALLOS # 98 COL. TEJALPA JIUTEPEC MORELOS",,"7.6452","2.3226","0","3","1","0","0","13.9678","7800.623306","Julio"
"259","CENTRO","DISTRITO FEDERAL","AV. CUITLAHUAC Y FERROCARRIL CENTRAL S/N COL. COSMOPOLITA C.P. 02670 DELEG. AZCAPOTZALCO MEXICO D.F.",,"82.4194","47.5806","0","5","11.4194","0","1","147.4194","79904.82967","Julio"
"260","CENTRO","MEXICO","BLVD. MIGUEL ALEMAN VALDEZ S/N ESQ. AGUSTIN MILLAN COL. SAN PEDRO TOTOLTEPEC CP 50200.",,"33.6129","27.8065","0","7.8387","9","0","0","78.2581","42093.041639","Julio"
"261","CENTRO","DISTRITO FEDERAL","ADUANA AICM: AV. 602 S/N,  ZONA FEDERAL, COL. PE?ON DE LOS BA?OS, DELEG. VENUSTIANO CARRANZA C.P. 15620 MEXICO D.F.",,"155.2903","98.516","0","9.4516","25.5484","0","2","290.8063","157119.021157","Julio"
"262","CENTRO","DISTRITO FEDERAL","AV. SAN LORENZO 252 COL. BOSQUE RESIDENCIA DEL SUR DEL. XOCHIMILCO C.P. 16010 MEXICO D.F.",,"694.3228","319.7741","1","136.9677","123.5162","0","5","1280.5808","703968.207536","Julio"
"263","CENTRO","DISTRITO FEDERAL","VIADUCTO RIO DE LA PIEDAD 507, COLONIA GRANJAS M?XICO, C.P. 08400, DELEGACI?N IZTACALCO, M?XICO, D.F.",,"24.2903","1","0","4","3.9677","0","1","34.258","19732.52022","Julio"
"264","CENTRO","DISTRITO FEDERAL","BAHIA DE SANTA BARBARA NO. 23 COL. VERONICA ANZURES DEL. MIGUEL HIDALGO C.P. 11300 ENTRE BAHIA DE SAN HIPOLITO Y BAHIA DE BALLENAS",,"591.0644","283.129","3","103","108.8064","0","3.9355","1092.9353","599666.980217","Julio"
"265","CENTRO","MEXICO","BOULEVARD TOLUCA-METEPEC 719 NORTE (ANTES 505 NORTE), COLONIA LAS JARAS, SECTOR ARCE, C.P. 52160, METEPEC, M?XICO.",,"194.7097","130.4516","3","65.3871","42.4516","0","0","436","237171.463664","Julio"
"266","CENTRO","MEXICO","AV. SOR JUANA INES DE LA CRUZ NO. 22 COL. CENTRO TLALNEPANTLA DE BAZ EDO DE MEXICO C.P. 54000",,"624.4517","236.8386","4","191.1935","104.3549","0","6.4839","1167.3226","647825.106652","Julio"
"267","CENTRO","DISTRITO FEDERAL","MARIANO ESCOBEDO NO. 550 ESQ. COPERNICO COL. ANZURES DELEG. MIGUEL HIDALGO C.P 11590 MEX. D.F",,"1","1","0","0","2","0","0","4","2197.4","Julio"
"268","CENTRO","MEXICO","16 DE SEPTIEMBRE NO. 784 COL. ALCE BLANCO NAUCALPAN EDO. MEX.",,"29","44.9033","0","1","1","0","0","75.9033","38872.420179","Julio"
"269","CENTRO","MEXICO","CALLE NEZAHUALCOYOTL No.14 CO. CENTRO TEXCOCO C.P.56100",,"4","23.2258","0","0","0","0","0","27.2258","13167.440854","Julio"
"270","CENTRO","MEXICO","AV. SOR JUANA INES DE LA CRUZ NO. 100 ESQ. INDIO TRISTE COL. METROPOLITANA 2A. SECCION NEZAHUALCOYOLT MEX C.P. 55730",,"23","34.7419","0","0","2","0","0","59.7419","30661.104697","Julio"
"271","NORTE","SINALOA","AGUSTINA RAMIREZ   165  SUR, N?MERO INTERIOR  LOCAL 7, COL. CENTRO C.P. 81400, PLANTA ALTA, GUAMUCHIL, SINALOA, REFERENCIA: ESQ. CON GUADALUPE VICTORIA EDIF. VALSA.",,"4","3","0","0","0","0","0","7","3709.25","Julio"
"272","CENTRO","MEXICO","TEMOAYA , S/N , PLANTA BAJA, ESQ. CON 1 DE MAYO COL. CENTRO C.P. 54740",,"20","32.0645","0","0","0","0","0","52.0645","26526.122135","Julio"
"273","SUR","OAXACA","MANUEL AVILA CAMACHO  200, COL. CENTRO C.P. 70600, PLANTA BAJA, SALINA CRUZ, OAXACA, REFERENCIA: ENTRE PROGRESO Y MANZANILLO",,"9","11","0","5","4","0","0","29","15522.55","Julio"
"274","CENTRO","DISTRITO FEDERAL","TERMINAL 1: AV. PILOTO AVIADOR CARLOS LEON S/N, ZONA FEDERAL, COL. PE?ON DE LOS BA?OS, DELEG. VENUSTIANO CARRANZA C.P. 15620 MEXICO D.F.",,"6","8","0","1","1.7097","0","0","16.7097","8762.965923","Julio"
"275","CENTRO","DISTRITO FEDERAL","CALZADA DE TLALPAN 2799 COL. EL RELOJ C.P 04640 DEL. COYOACAN MEXICO DF.",,"76.9355","1","0","2","7.6129","0","0","87.5484","50370.571956","Julio"
"276","CENTRO","DISTRITO FEDERAL","JOSE GUADALUPE COVARRUBIAS NO. 13 COL. SAN MIGUEL CHAPULTEPEC DEL. MIGUEL HIDALGO C.P. 11850 ENTRE AV. JALISCO Y GENERAL JUAN CANO",,"2","7","0","0","1","0","0","10","5003.18","Julio"
"277","CENTRO","MEXICO","AEROPUERTO DE TOLUCA BLVD. MIGUEL ALEMAN VALDEZ S/N COL. SAN PEDRO TOTOLTEPEC CP 50200.",,"4.7419","4.7742","0","0","1","0","0","10.5161","5543.281267","Julio"
"278","SUR","OAXACA","CARRETERA COSTERA KM.6.5 S/N, COL. SAN PEDRO MIXTEPEC C.P. 71980, UNICO, PUERTO ESCONDIDO, OAXACA, REFERENCIA: INTERIOR DEL AEROPUERTO INTERNACIONAL DE PUERTO ESCONDIDO",,"1","0","0","1","0","0","0","2","1153.18","Julio"
"279","CENTRO","DISTRITO FEDERAL","CALZADA DE LA VIRGEN 2799 COL. CTM CULHUACAN DEL. COYOACAN C.P. 04480 ENTRE MARIQUITA SANCHEZ Y CATALINA BUENDIA MEXICO DF",,"66.9355","21","2","11","83.258","0","2","186.1935","105241.290165","Julio"
"280","CENTRO","DISTRITO FEDERAL","3 ERA CERRADA DE CALIZ S/N COL EL RELOJ MEXICO D.F. C.P.4640",,"47.1613","153.0321","80.2259","115","291.1289","11","61.6774","759.2256","427323.304291","Julio"
"281","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77 79 Y 81 CONJUNTO HIDALGO COL. GUERRERO (MODULO 1)",,"99.2903","57.0645","5.6775","5","55.6129","0","25.7095","248.3547","139245.788098","Julio"
"282","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77 79 Y 81 CONJUNTO HIDALGO COL. GUERRERO (MODULO 2)",,"401.1941","170.6131","14","173.0324","240.871","0","15.5161","1015.2267","568118.957003","Julio"
"283","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77 79 Y 81 CONJUNTO HIDALGO COL. GUERRERO (MODULO 3)",,"382.1615","264.0002","5.6452","67.9678","200.4197","0","12.7097","932.9041","510249.934161","Julio"
"284","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77 79 Y 81 CONJUNTO HIDALGO COL. GUERRERO (MODULO 4)",,"441.8718","288.7744","14.1613","183.1291","535.871","1","63.871","1528.6786","855670.720443","Julio"
"285","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77 79 Y 81 CONJUNTO HIDALGO COL. GUERRERO (MODULO 5)",,"128.8063","192.8385","3","17","77.0967","0","10.2581","428.9996","227246.90955","Julio"
"286","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77 79 Y 81 CONJUNTO HIDALGO COL. GUERRERO (MODULO 6)",,"100.6451","106.7095","0","37.7098","129.8064","1","15","390.8708","215163.687452","Julio"
"287","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77 79 Y 81 CONJUNTO HIDALGO COL. GUERRERO (MODULO 7)",,"154.484","66.8709","3.9678","44.4193","177.7742","6","42.5807","496.0969","283055.146567","Julio"
"288","CENTRO","DISTRITO FEDERAL","AV. HIDALGO 77 79 Y 81 CONJUNTO HIDALGO COL. GUERRERO (MODULO 8)",,"151.6777","141.6778","3","36.9677","85.2903","0","5.2903","423.9038","229442.746952","Julio"
"289","CENTRO","DISTRITO FEDERAL","SINALOA 43 ENTRE MONTERREY Y MEDELLIN COL. ROMA C.P. 06700",,"477.7096","42.8385","0","34.1935","174.7096","0","4","733.4512","418587.584448","Julio"
"290","CENTRO","DISTRITO FEDERAL","LUCAS ALAMAN 160 ENTRE 5 DE FEBRERO Y TLALPAN COL. OBRERA C.P. 06800",,"29","66.0968","0","10.5805","27","0","0","132.6773","69298.497079","Julio"
"291","CENTRO","DISTRITO FEDERAL","PARIS 15 ENTRE ESQ. CON MADRID COL. TABACALERA C.P. 06030",,"9","0","1","0","1","0","0","11","6339.9","Julio"
"292","CENTRO","DISTRITO FEDERAL","CALZADA DE TLALPAN 2775 COL. EL RELOJ C.P 04640 DEL. COYOACAN MEXICO DF",,"115","75.871","57.6774","20","55.7097","0","4.7097","328.9678","181680.817178","Julio"
"293","CENTRO","DISTRITO FEDERAL","CALZ. LEGARIA NO. 608 (ESQUINA PRESA LA ANGOSTURA) COL. IRRIGACION C.P. 11500 DELEG. MIGUEL HIDALGO MEXICO D.F.",,"84","39.6452","0","0","3","0","0","126.6452","68702.614876","Julio"
"294","CENTRO","DISTRITO FEDERAL","CALLE HEROES NO 44 COL GUERRERO DELEG CUAUHTEMOC C.P 6300 MEXICO DF.",,"9","1","0","1","0","0","0","11","6233.53","Julio"
"295","CENTRO","DISTRITO FEDERAL","INSURGENTES SUR 1971 COL. SAN ANGEL INN DEL. COYOACAN C.P. 01060 MEXICO D.F.",,"0.9355","4.6452","0","0","0","0","1","6.5807","3376.884821","Julio"
"296","CENTRO","MEXICO","ARIES S/N COL. FRACCIONAMIENTO V SAN VICENTE CHICOLOAPAN C.P. 56370 ESTADO DE MEXICO",,"0","0","0","1","1","0","0","2","1153.18","Julio"
"297","CENTRO","DISTRITO FEDERAL","RABAUL # 350 Y NUECES COL. JARDIN AZPEITIA C.P. 02500 DELEG. AZCAPOTZALCO MEXICO D.F.",,"5","4","0","0","0","0","0","9","4753.47","Julio"
"298","CENTRO","DISTRITO FEDERAL","FELIX CUEVAS NO. 301 COL. DEL VALLE DELG. BENITO JUAREZ C.P.03100 MEXICO DF.",,"3","31.4839","0","0","0","0","0","34.4839","16452.586157","Julio"
"299","CENTRO","DISTRITO FEDERAL","EJE 1 PTE AV. CUAUHTEMOC NO. 602 COL NARVARTE DELEGACION BENITO JUAREZ C.P. 03020.",,"51.8402","47.097","0","1","3","0","1","103.9372","54886.121028","Julio"
"300","NORTE","NUEVO LEON","LIBRAMIENTO SANTA ROSA 111, COL. FUTURO APODACA C.P. 66600, SUITE 2, APODACA, NUEVO LEON, REFERENCIA: DATA CENTER TRIARA",,"0","0","0","3","0","1","0","4","2395.02","Julio"
"301","CENTRO","DISTRITO FEDERAL","AV. TALISMAN NO.382 COL ARAGON INGUARAN DEL. GUSTAVO A. MADERO. C.P. 07820 (ENTRE EDUARDO MOLINA Y CONGRESO DE LA UNION )",,"9","1","0","0","55","0","1","66","38034.64","Julio"
"302","CENTRO","MICHOACAN","AV. MORELOS NO. 27 COL. ZONA INDUSTRIAL C.P. 60950 LAZARO CARDENAS MICH.",,"5","7","0","1.129","1","0","0","14.129","7383.92011","Julio"
"303","NORTE","BAJA CALIFORNIA SUR","AV. HIDALGO SN LOTES 8 Y 9 MZ-168 S/N, COL. MATAMOROS C.P. 23468, 2DO PISO, CABO SAN LUCAS, BAJA CALIFORNIA SUR, REFERENCIA: ENTRE LOPEZ MATEOS Y CAMINO AL FARO",,"59.549","45.3227","2","21","18","1","6","152.8717","83821.372111","Julio"
"304","NORTE","SONORA","GARCIA MORALES 518, N?MERO INTERIOR  4, COL. CENTRO C.P. 85800, PLANTA BAJA Y PLANTA ALTA, NAVOJOA, SONORA, REFERENCIA: EDIFICIO GUADALAJARA",,"12","12","0","3","2","0","0","29","15413.59","Julio"
"305","NORTE","SONORA","CALZADA AGUSTIN GARCIA LOPEZ 185, N?MERO INTERIOR  201, COL. CENTRO C.P. 85400, PLANTA ALTA, GUAYMAS, SONORA, REFERENCIA: EDIFICIO EL CORSARIO",,"7","0","0","2","0","0","0","9","5189.31","Julio"
"306","NORTE","COAHUILA","CALLE ESTUDIOS Y REFORMA? S/N, COL. CENTRO C.P. 26000, PLANTA BAJA, PIEDRAS NEGRAS, COAHUILA, REFERENCIA: MODULO ADUANA",,"0","4","0","0","0","0","0","4","1870.52","Julio"
"307","NORTE","BAJA CALIFORNIA","AV. REVOLUCION 90, COL. ESPINOZA C.P. 21401, PB, TECATE, BAJA CALIFORNIA, REFERENCIA: ESQ. CON CALLE ALDRETE",,"1","2","0","0","0","0","0","3","1511.85","Julio"
"308","NORTE","SONORA","AV. LUIS BARREDA M. 66, COL. CENTRO C.P. 83600, PLANTA BAJA, CABORCA, SONORA, REFERENCIA: ENTRE CALLES PRIMERA Y SEGUNDA",,"3","2","0","4","1","0","0","10","5547.98","Julio"
"309","NORTE","SONORA","CALLE 9 ESQ. CON AVE. 26 2501, N?MERO INTERIOR  LOCAL 7, COL. BUR?CRATA C.P. 84200, PISO 1,  DEL.  COL. BUROCRATA, AGUA PRIETA, SONORA, REFERENCIA: PLAZA TRES DIAMANTES",,"3","3","0","5","1","0","0","12","6592.2","Julio"
"310","CENTRO","MEXICO","AV. CARLOS HANK GONZALEZ NO. 50 1ER. PISO COL. VALLE ANAHUAC ECATEPEC ESTADO DE MEXICO C.P. 55210",,"26.9677","25.3868","0","3","3","0","0","58.3545","30880.475427","Julio"
"311","SUR","QUINTANA ROO","IINTERIOR DEL AEROPUERTO INTERNACIONAL DE CANCUN, TERMINAL 2 S/N, COL. AEROPUERTO INTERNACIONAL DE CANCUN C.P. 77565, PB,  DEL.  BENITO JUAREZ, CANCUN, QUINTANA ROO, REFERENCIA: TERMINAL 2",,"4.2581","5","0","3","1.3548","0","0","13.6129","7304.262011","Julio"
"312","NORTE","SONORA","CARRETERA INTERNACIONAL NOGALES-HERMOSILLO KM 5.5 S/N, COL. LOMAS DE NOGALES C.P. 84094, PISO UNICO, NOGALES, SONORA, REFERENCIA: ENTRADA PEMEX.",,"0","3","0","0","0","0","0","3","1402.89","Julio"
"313","NORTE","TAMAULIPAS","ART?CULO 123 ESQUINA CON CHIHUAHUA COL SAN RAFAEL  123, COL. CENTRO C.P. 88200, BAJA, NUEVO LAREDO, TAMAULIPAS, REFERENCIA: KM 6 ALMACEN",,"1","9","0","0","1","0","0","11","5361.85","Julio"
"314","NORTE","TAMAULIPAS","AV. BENITO JUAREZ S/N,  COL. CENTRO, VILLA DE NUEVO PROGRESO. (EXPORTACION) S/N, COL. CENTRO C.P. 88810, PB,  DEL.  NVO. PROGRESO, RIO BRAVO, TAMAULIPAS, REFERENCIA: AREA DE EXPORTACI?N",,"0","2","0","0","0","0","0","2","935.26","Julio"
"315","CENTRO","SAN LUIS POTOSI","KM 9 CARRETERA SAN LUIS POTOSI-MATEHUALA DELEGACION SOLEDAD DE GRACIANO SANCHEZ RECINTO FISCAL ESTAFETA C.P. 78340 SAN LUIS POTOSI",,"2","3","0","0","0","0","0","5","2556.07","Julio"
"316","SUR","VERACRUZ","AV. MORELOS NORTE ESQ. AGUST?N Y??EZ INT. DEL RECINTO FISCAL S/N, COL. CENTRO C.P. 91700, PB, VERACRUZ, VERACRUZ, REFERENCIA: M?DULO FFCC EN MUELLE 6, BAJO DEL PUENTE MORELOS DE FFCC.",,"1","0.6774","0","0","0","0","0","1.6774","893.362562","Julio"
"317","SUR","TAMAULIPAS","BLVD. ADOLFO LOPEZ MATEOS 1001, COL. NUEVO AEROPUERTO C.P. 89339, 1ER PISO, TAMPICO, TAMAULIPAS, REFERENCIA: EDIFICO VUELOS PRIVADOS",,"3","2","0","0","1","0","0","6","3241.62","Julio"
"318","NORTE","TAMAULIPAS","CARR. MATAMOROS - MAZATLAN KM. 83 KM 83, COL. ALMAGUER C.P. 88780, PB, REYNOSA, TAMAULIPAS, REFERENCIA: RECINTO FISCAL",,"0","5","0","0","0","0","0","5","2338.15","Julio"
"319","CENTRO","GUANAJUATO","CARRETERA PANAMERICANA #45 TRAMO LEON-SILAO KM 160 + 124 MTS. EJIDO ""EL REFUGIO"" RANCHO ""SAN ISIDRO"" MUNICIPIO DE SILAO GTO. C.P. 36102",,"12","16.3549","0","3","3","0","1","35.3549","18691.911887","Julio"
"320","NORTE","SINALOA","CARR. LOS MOCHIS-TOPOLOBAMPO KM. 12.5  AHOME SINALOA S/N, COL. AEROPUERTO INTERNACIONAL LOS MOCHIS C.P. 81570, PLANTA BAJA, LOS MOCHIS, SINALOA, REFERENCIA: AEROPUERTO INTERNACIONAL LOS MOCHIS",,"2","1","0","0","0","0","0","3","1620.81","Julio"
"321","NORTE","SINALOA","CARR. INTERNACIONAL AL SUR KM 12 S/N, COL. AEROPUERTO MAZATLAN C.P. 82269, PLANTA BAJA, MAZATLAN, SINALOA, REFERENCIA: AEROPUERTO INTERNACIONAL MAZATLAN RAFAEL BUELNA",,"1.7742","1","0","1","1","0","0","4.7742","2643.795978","Julio"
"322","NORTE","BAJA CALIFORNIA SUR","CARRETERA TRANSPENINSULAR KM. 13, INTERIOR AEROPUERTO INTERNACIONAL DE LA PAZ ""GENERAL MANUEL M?RQUEZ DE LE?N"" S/N, COL. EJIDO CHAMETLA C.P. 23205, PLANTA BAJA, LA PAZ, BAJA CALIFORNIA, REFERENCIA: AEROPUERTO DE LA PAZ",,"2","1","0","0","0","0","0","3","1620.81","Julio"
"323","NORTE","BAJA CALIFORNIA","AV. MELGAR S/N, COL. ZONA CENTRO C.P. 21100, UNICO PISO, MEXICALI, BAJA CALIFORNIA, REFERENCIA: GARITA 1",,"2","1.1935","0","0","1","0","0","4.1935","2287.886405","Julio"
"324","SUR","GUERRERO","IGNACIO MAYA 94, COL. CENTRO, FRACC. LA QUINTA C.P. 40000, PISO UNICO,  DEL.  IGUALA DE LA INDEPENDENCIA, IGUALA, GUERRERO, REFERENCIA: ESQUINA CALLE EUROPA",,"0","1","0","0","0","0","0","1","467.63","Julio"
